Current Time,Time,Temperature,Altitude,Velocity,Acceleration
2019-02-05 13:51,0,0,0,0,0
2019-02-05 13:51,1,1,1,1,1
2019-02-05 13:51,2,2,2,2,2
2019-02-05 13:51,3,3,3,3,3
2019-02-05 13:51,4,4,4,4,4
2019-02-05 13:51,5,5,5,5,5
2019-02-05 13:51,6,6,6,6,6
2019-02-05 13:51,7,7,7,7,7
2019-02-05 13:51,8,8,8,8,8
2019-02-05 13:51,9,9,9,9,9
2019-02-05 13:51,10,10,10,10,10
2019-02-05 13:51,11,11,11,11,11
2019-02-05 13:51,12,12,12,12,12
2019-02-05 13:51,13,13,13,13,13
2019-02-05 13:51,14,14,14,14,14
2019-02-05 13:51,15,15,15,15,15
2019-02-05 13:51,16,16,16,16,16
2019-02-05 13:51,17,17,17,17,17
2019-02-05 13:51,18,18,18,18,18
2019-02-05 13:51,19,19,19,19,19
2019-02-05 13:51,20,20,20,20,20
2019-02-05 13:51,21,21,21,21,21
2019-02-05 13:51,22,22,22,22,22
2019-02-05 13:51,23,23,23,23,23
2019-02-05 13:51,24,24,24,24,24
2019-02-05 13:51,25,25,25,25,25
2019-02-05 13:51,26,26,26,26,26
2019-02-05 13:51,27,27,27,27,27
2019-02-05 13:51,28,28,28,28,28
2019-02-05 13:51,29,29,29,29,29
2019-02-05 13:51,30,30,30,30,30
2019-02-05 13:51,31,31,31,31,31
2019-02-05 13:51,32,30,30,30,30
2019-02-05 13:51,33,29,29,29,29
2019-02-05 13:51,34,28,28,28,28
2019-02-05 13:51,35,27,27,27,27
2019-02-05 13:51,36,26,26,26,26
2019-02-05 13:51,37,25,25,25,25
2019-02-05 13:51,38,24,24,24,24
2019-02-05 13:51,39,23,23,23,23
2019-02-05 13:51,40,22,22,22,22
2019-02-05 13:51,41,21,21,21,21
2019-02-05 13:51,42,20,20,20,20
2019-02-05 13:51,43,19,19,19,19
2019-02-05 13:51,44,18,18,18,18
2019-02-05 13:51,45,17,17,17,17
2019-02-05 13:51,46,16,16,16,16
2019-02-05 13:51,47,15,15,15,15
2019-02-05 13:51,48,14,14,14,14
2019-02-05 13:51,49,13,13,13,13
2019-02-05 13:51,50,12,12,12,12
2019-02-05 13:51,51,11,11,11,11
2019-02-05 13:51,52,10,10,10,10
2019-02-05 13:51,53,9,9,9,9
2019-02-05 13:51,54,8,8,8,8
2019-02-05 13:51,55,7,7,7,7
2019-02-05 13:51,56,6,6,6,6
2019-02-05 13:51,57,5,5,5,5
2019-02-05 13:51,58,4,4,4,4
2019-02-05 13:51,59,3,3,3,3
2019-02-05 13:51,60,2,2,2,2
2019-02-05 13:51,61,1,1,1,1
2019-02-05 13:51,62,2,2,2,2
2019-02-05 13:51,63,3,3,3,3
2019-02-05 13:51,64,4,4,4,4
2019-02-05 13:51,65,5,5,5,5
2019-02-05 13:51,66,6,6,6,6
2019-02-05 13:51,67,7,7,7,7
2019-02-05 13:51,68,8,8,8,8
2019-02-05 13:51,69,9,9,9,9
2019-02-05 13:51,70,10,10,10,10
2019-02-05 13:51,71,11,11,11,11
2019-02-05 13:51,72,12,12,12,12
2019-02-05 13:51,73,13,13,13,13
2019-02-05 13:51,74,14,14,14,14
2019-02-05 13:51,75,15,15,15,15
2019-02-05 13:51,76,16,16,16,16
2019-02-05 13:51,77,17,17,17,17
2019-02-05 13:51,78,18,18,18,18
2019-02-05 13:51,79,19,19,19,19
2019-02-05 13:51,80,20,20,20,20
2019-02-05 13:51,81,21,21,21,21
